Unnamed: 0,Phu My Gas Cost (USD/MMBTU),Nhon Trach Gas Cost (USD/MMBTU),coal cost for Vinh Tan (VND/ton),coal cost for Mong Duong (VND/ton)
2017-01-31,5003.281484644031,5845.9629629629635,1382000,1382000
2017-02-28,5004.56975046008,5840.222222222223,1382000,1382000
2017-03-31,5025.307971636127,5837.666666666667,1382000,1382000
2017-04-30,4979.966731835883,5860.0,1382000,1382000
2017-05-31,5008.434547908232,5823.0,1382000,1382000
2017-06-30,5087.522635164267,5830.0,1382000,1382000
2017-07-31,4843.943012435148,5720.0,1382000,1382000
2017-08-31,4877.453118185783,5780.0,1382000,1382000
2017-09-30,5144.533609457244,6050.0,1382000,1382000
2017-10-31,4930.10325655282,5960.0,1382000,1382000
2017-11-30,5308.132445361598,6338.0,1382000,1382000
2017-12-31,5531.42514011209,6272.0,1382000,1382000
2018-01-31,5913.802469135803,6450.0,1382000,1382000
2018-02-28,5919.851851851851,6430.0,1382000,1382000
2018-03-31,5914.88888888889,6390.0,1382000,1382000
2018-04-30,5906.666666666667,6650.0,1382000,1382000
2018-05-31,5938.0,7180.0,1382000,1382000
2018-06-30,5900.0,7256.0,1382000,1382000
2018-07-31,5882.0,7400.0,1382000,1382000
2018-08-31,5592.0,7280.0,1382000,1382000
2018-09-30,5962.0,7383.0,1382000,1382000
2018-10-31,6207.0,7814.0,1382000,1382000
2018-11-30,5659.0,7124.0,1382000,1382000
2018-12-31,5527.0,6609.0,1382000,1382000
2019-01-31,5586.0,6663.0,1664000,1634000
2019-02-28,5482.0,6980.0,1664000,1634000
2019-03-31,5801.0,7000.0,1664000,1634000
2019-04-30,6549.0,6980.0,1664000,1634000
2019-05-31,6403.0,6860.0,1664000,1634000
2019-06-30,6182.0,6636.0,1664000,1634000
2019-07-31,5445.0,7000.0,1580000,1550000
2019-08-31,5998.0,6453.0,1580000,1550000
2019-09-30,6234.0,6688.0,1580000,1550000
2019-10-31,5743.0,6198.0,1547000,1517000
2019-11-30,5340.0,5793.0,1547000,1517000
2019-12-31,5958.0,6609.0,1547000,1517000
2020-01-31,5584.0,6083.0,1614000,1584000
2020-02-29,5491.0,5960.0,1614000,1584000
2020-03-31,5501.0,5979.0,1614000,1584000
2020-04-30,5714.0,6189.0,1600000,1570000
2020-05-31,5717.0,6191.0,1600000,1570000
2020-06-30,5625.0,6095.0,1600000,1570000
2020-07-31,5233.0,5700.0,1553000,1523000
2020-08-31,5538.0,6008.0,1553000,1523000
2020-09-30,5115.0,5579.0,1553000,1523000
2020-10-31,5135.0,5538.0,1549000,1519000
2020-11-30,5416.0,5894.0,1549000,1519000
2020-12-31,5503.0,6191.0,1549000,1519000
2021-01-31,6402.0,7115.0,1529000,1504000
2021-02-28,6605.0,7200.0,1529000,1504000
2021-03-31,6763.0,7273.0,1529000,1504000
2021-04-30,7398.0,7931.0,1529000,1504000
2021-05-31,7179.0,7704.0,1529000,1504000
2021-06-30,6909.0,7415.0,1529000,1504000
2021-07-31,7386.0,7913.0,1529000,1504000
2021-08-31,7943.0,8358.0,1529000,1504000
2021-09-30,8357.0,8803.0,1529000,1504000
2021-10-31,7856.0,8094.0,1504000,1504000
2021-11-30,7847.0,8393.0,1504000,1504000
2021-12-31,7940.0,8490.0,1504000,1504000
2022-01-31,8347.0,8908.0,1504000,1504000
2022-02-28,8739.0,9326.0,1504000,1504000
2022-03-31,9347.0,9899.0,1504000,1504000
2022-04-30,10031.0,10598.0,1504000,1504000
2022-05-31,9546.0,10144.0,1504000,1504000
2022-06-30,9175.0,9757.0,1504000,1504000
2022-07-31,8489.0,9136.0,1504000,1504000
2022-08-31,8623.0,9232.0,1504000,1504000
2022-09-30,8357.0,9082.0,1504000,1504000
2022-10-31,8389.0,9056.0,1504000,1504000
2022-11-30,7964.0,8634.0,1504000,1504000
2022-12-31,8104.0,8849.0,1504000,1504000
2023-01-31,8234.0,8938.0,1504000,1504000
2023-02-28,8167.0,8892.0,1504000,1504000
2023-03-31,8078.0,8820.0,1504000,1504000
2023-04-30,8451.0,9033.0,1504000,1504000
2023-05-31,8152.0,8876.0,2365394,2335394
2023-06-30,8184.0,8896.0,2365394,2335394
2023-07-31,8418.0,9124.0,2110189,2080189
2023-08-31,8762.0,9449.0,2110189,2080189
2023-09-30,8409.0,9198.0,2110189,2080189
2023-10-31,8502.0,9230.0,2110189,2080189
2023-11-30,8434.0,9188.0,2110189,2080189
2023-12-31,8277.0,9077.0,2110189,1981189
2024-01-31,8460.0,9183.5,2110189,1981189
2024-02-29,8540.0,9290.0,2327066,2297066
2024-03-31,8570.0,9347.0,2327066,2297066
2024-04-30,8900.0,9464.0,2436273,2406273
2024-05-31,9570.0,9542.0,2527273,2497273
2024-06-30,9010.0,9528.0,2527273,2497273
2024-07-31,8600.0,9647.0,2526004,2496004
2024-08-31,9630.0,9541.0,2526004,2496004
2024-09-30,8670.0,9590.0,2526004,2496004
2024-10-31,8530.0,9467.0,2300000,2270000
2024-11-30,8560.0,9439.0,2294000,2264000
2024-12-31,8680.0,9518.5,2294000,2264000
2025-01-31,8580.0,9598.0,2337409,2288817
2025-02-28,8620.0,9578.0,2337409,2288817
2025-03-31,9880.0,9484.0,2337409,2288817
2025-04-30,8780.0,9471.0,2178600,2130200
2025-05-31,9320.0,9566.0,2178600,2130200
2025-06-30,8580.0,9635.0,2178600,2130200
